Name,Cell Line,passage,Drug Treatment,Parent,Holiday,Fixation,Media,Conc of Drug,Treatment (days),Clonal map,AT ID (from Attachments),Results,Status,JIRA,DLP Seq Lib,Link to SV,Sample Name (from Attachments),Library ID(s) (from Attachments),JIRA (from Attachments),Sync with calendar,ATLAS ID (from Sync with calendar),Task (from Sync with calendar),Date (from Sync with calendar),End (from Sync with calendar),Link to ticket (from Sync with calendar),EXP ID (Nanopore)(from Sync with calendar),AT-Barcode (from Sync with calendar),Matched Nanopore samples,#bases (Gb) (from Matched Nanopore samples),# reads (millions) (nanostat) (from Matched Nanopore samples),N50 (nanostat) (from Matched Nanopore samples),Quality (from Matched Nanopore samples),LIBRARY (from Matched Nanopore samples)
hTERT p53-/- BRCA1-/- 83.86-Untreated--10d,hTERT p53-/- BRCA1-/- 83.86,51,Untreated,,,Fixed,DMEM+FBS,,10,A118842A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/_N_OyCpe5tGw49PtAEsy7A/92ieBeLqMZX70uT3OmMFhZNmgZkmUgWWE0KwzswGqmo01qhIGgRDz_U1P_H4R7vSr9-YlkpGtCFRbGE1QJ3aUmxCd0aKTvhsdfMCDljpVYkf-zJaZoINMa4e2ErpTD2bZBEp4dJw4jDCcukwAxITvQ/CrPCSPCPePH3Zg0JfYjAC5NkMg5lpo1211BJY4FntUs),AT16172,https://alhena.molonc.ca/alhena/dashboards/SC-7814,poor quality cells?,SC-7699,AT16172 A118842A,hTERT p53 KO BRCA1 KO Fixed Untreated,hTERT p53 KO BRCA1 KO Fixed Untreated,"A118842A, A118867A",,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86-CX5461-2.2 nM-7d,hTERT p53-/- BRCA1-/- 83.86,54,CX5461,,,Fixed,DMEM+FBS,2.2 nM,7,A118846A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/h8ULhFRBzV9heEqVVCBjXA/dZ6I2vqvlp0KS9tSsc2l09xlj0rw2O_N_z4EgodWGx3sKREE5Rvj1E5uTg0ElYMUcXPI7vCwzxVZwbaf7S1JIQkp0GijrVADcJT-pOYEBJKxrUGwRZ8yOW6GPCAZi6mud5upkFfA7XZxFHMgHvR5XA/VrSPQnjFFOUa32M4AS_AaBkNYrxswyNi2pJt5fyD0Rg),AT16176 ,https://alhena.molonc.ca/alhena/dashboards/SC-7838,poor quality cells?,SC-7719 SC-7720,AT16176 A118846A,hTERT p53 KO  BRCA1 KO Fixed CX5461,hTERT p53 KO  BRCA1 KO Fixed CX5461,"A118846A, A118886A",,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86-SB-124-340 nM-8d,hTERT p53-/- BRCA1-/- 83.86,54,SB-124,,,Fixed,DMEM+FBS,340 nM,8,A98218A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/5ILJGLSAwB5r7oV17xgfBg/JmbkRtMB24MN_fTWaxHZrT2LG4-o1OmFvnfcBSBHVnkgpXDbpY_0FxRmeMg8vycoFUSlpMq5a_PhjuDvvMrw0t2gg5sGhVfF4O36e5zVqycut4G9ixvKCuF3yQowNElkSpZQQiUyFZjh8k96i8ulww/n617Kl7suLWGavxpRAAIu6hLVEM3EQ6Za8lgsNrlc1M),AT16180 ,https://alhena.molonc.ca/alhena/dashboards/SC-7842,poor quality cells?,SC-7754 SC-7755,AT16180 A98218A,hTERT p53 KO BRCA1 KO Fixed SB-124,hTERT p53 KO BRCA1 KO Fixed SB-124,"A98218A, A98219A",,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86-cisplatin-43 nM-7d,hTERT p53-/- BRCA1-/- 83.86,55,cisplatin,,,Fresh,DMEM+FBS,43 nM,7,A98187A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/zi8tza2_VrNe2t0yVf8xng/FOVltogdGPgDAaq7EF9w2YShDchXFVI6RDafKRINvo5oXU4JL_TbRfRe6_5a2jM-9XEP3RzNExhzo2PncLk4WgxjrdaH8PQ2pSyhBcZaSZSwhiTCPk8bZWhvUC1GcCzVEI-XmwR8jnFyvoFXXlfIMg/csoYvJwi8-mKeqG8VRxVyYvlHPQwzuTk-gDWrRSrgE4),AT13847,https://alhena.molonc.ca/alhena/dashboards/SC-7917,Done,SC-7790 SC-7791,AT13847 A98187A,hTERT p53 KO BRCA1 KO p55 Cisplatin,hTERT p53 KO BRCA1 KO p55 Cisplatin,"A98187A, A98307A",,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86-Untreated--d,hTERT p53-/- BRCA1-/- 83.86,55,Untreated,,,Fresh,DMEM+FBS,,,A118871A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/MLmTFkHK2Ai8wRsL11g7Hg/Ju4U7WDkFiUnX6XbVPS5VzO1KVECwx09iGNHoNkPb3_DyEQaHRVJ75flipbN9E9qqaInRaDs1JsaMB-oew5t0v2yzblP1d9D0A_s1cFUZxgqBZ-aIhXjoIEjAiv0WnrFgnOGQg3llyVzC5BNQ_v4kw/hqKnqul6tq_xc9wRVHPFcTxqshHLE7dvwWxzF2U9BkE),AT17082 ,https://alhena.molonc.ca/alhena/dashboards/SC-7812,Done,SC-7679 SC-7680,AT17082 A118871A,hTERT p53 KO BRCA1 KO Untreated,hTERT p53 KO BRCA1 KO Untreated,"A118871A, A118874A",,,,,,,,,,,,,,,
hTERT p53-/- 95.22-Untreated--d,hTERT p53-/- 95.22,20b,Untreated,,,Fresh,MEBM defined media,,,,,https://alhena.molonc.ca/alhena/dashboards/SC-7999,Previously Published,SC-1004,SA906 A96215A,,,,,,,,,,,,,,,,,,
hTERT p53-/- 95.22-CX5461-703 nM-5+19+5d,hTERT p53-/- 95.22,22b,CX5461,,,Fresh,MEBM defined media,703 nM,5+19+5,,,,Done but no DLP,,,,,,,Nanopore/DLP 5/19/5 CX5461 hTERT WT/p53 KO,AT18351 (WT) / AT18352 (95.22) ,Nanopore/DLP 5/19/5 CX5461 hTERT WT/p53 KO,9/9/2022,10/19/2022,,,,,,,,,
hTERT p53-/- 95.22-Untreated--d,hTERT p53-/- 95.22,30b,Untreated,,,Fresh,MEBM defined media,,,A96211C_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/arbYsFQkmbS3yhJDjr9PWg/2D1dAAKSrIIjzjCO4rwLBHvdK7kQM8Hw0ZdnDuLZZWSl1ebdkLWUvfF_hO1taCou2iLRJN1ZN3BTEkJAk6rl_e65FWeepu2CbKoJg18nWrZBckE7_0fWTgfhm7kz5rLDYbGe-x7V9G87L9kP3VASBQ/c5NqyZ2pSq57cIijod-awNjnhLtUBbYkvZ8tWE2rz0o),,https://alhena.molonc.ca/alhena/dashboards/SC-2610,Previously Published,SC-2610,SA906 A96211C,,,,,,,,,,,,,,,,,,
hTERT p53-/- 95.22-CX5461-703 nM-5d,hTERT p53-/- 95.22,33,CX5461,,,Fresh,MEBM defined media,703 nM,5,A118367A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/9dgcc-XSUdD7JD59I6BfsA/KXUvdDRJkW_gf0M2qIKzFIORZj7i8xRvu3ghjgiuB_PGdssfOdL7jba_OtUco5JMDR746Oj04vm5stTwNP5AZ2xkJFGriLoHepCuhhD-iAzVb4MnPuU0RU8VuwnR1aE0Hql7DA5z7nZEv1vo0bRx0g/u3B2uB-5sJ-Flx8B5Ne4eJ46CXfu7JkcqNxUqE08uQU),AT9250,https://alhena.molonc.ca/alhena/dashboards/SC-7321,Done,SC-7254  SC-7255,AT9250 A118367A,p53 KO (95.22 p33) 703nM CX5461,p53 KO (95.22 p33) 703nM CX5461,A118380A,,,,,,,,,,,,,,,
hTERT p53-/- 95.22-cisplatin-410 nM-7d,hTERT p53-/- 95.22,35,cisplatin,,,Fresh,MEBM defined media,410 nM,7,,,https://alhena.molonc.ca/alhena/dashboards/SC-7468,In progress,SC-7269 SC-7270,AT9254 A118397B,,,,,,,,,,,,,,,,,,
hTERT p53-/- 95.22-cisplatin-410 nM-d,hTERT p53-/- 95.22,35,cisplatin,,,Fresh,MEBM defined media,410 nM,,A118338A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/npT5PyZiYstV27aJDTLslw/Xl6SjVcwvqajAlJ3_rWhH3xuEsPzhYBg6TAWOdcSN76dkha7hxoT6xAd1DGVl0PhFtgtPtyxtvNbu5w0o4-hHhYJu2wp_WDhx_2anqmJXkCrJ5oIqMm27AkIsLhxAzkav-5ay3r0EQAZBbtG6v2OPA/nq0MBmqzfFN6-5LRHfVxXRfYFKuSuCUewU4nXKvU0_Y),AT10214,https://alhena.molonc.ca/alhena/dashboards/SC-7841,Done,SC-7331 SC-7332,AT10214 A118338A,hTERT 95.22 410nM Cisplatin,hTERT 95.22 410nM Cisplatin,A118338A,,,,,,,,,,,,,,,
hTERT p53-/- 95.22-CX5461-703 nM-d,hTERT p53-/- 95.22,35,CX5461,,,Fresh,MEBM defined media,703 nM,,A118345A_hdbscan_cell_cn_tree_heatmap.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/0YTKFEXHdT4Ylhm-T7-CdQ/JcDyJDIMTxtkH9QiF0eIBoEY4iemUdAfyeVVUpXqDFoIEc703YNbkqoJANkYO08d4jqIiRpI8RLOdvypTLi6OMeDwW1QTr147nZa6siSmZHZL9LLIEZfXkFspcFJPY8aK--8ASGoTpONFvomXY1euw/F0UYj_wHFH-sqkfQR3DL-o0sr2--9kQFl3L2zNxs09I),AT10216,https://alhena.molonc.ca/alhena/dashboards/SC-7975,Done,SC-7335 ,AT10216 A118345A,hTERT 95.22 703nM CX-5461,hTERT 95.22 703nM CX-5461,A118345A,,,,,,,,,,,,,,,
hTERT p53-/- 95.22-CX5461-703 nM-+5-14+5-14+5d,hTERT p53-/- 95.22,37,CX5461,,,Fresh,MEBM defined media,703 nM,-13,,AT18352 ,https://alhena.molonc.ca/alhena/dashboards/SC-8353,Done,SC-8094 SC-8095,AT18352 A130829B,hTERT p53 KO (95.22) CX5461 5/14/5/14/5,hTERT p53 KO (95.22) CX5461 5/14/5/14/5,"A130829B, A130850B",,,,,,,,,,,,,,,
hTERT p53-/- 95.22-Untreated--d,hTERT p53-/- 95.22,37,Untreated,,,Fresh,MEBM defined media,,,A118388B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/eZi3UfTK9FUIxfb-3_7zIg/Xma3zfGIPsKHhdH-h2vNngbMb6fXZwaJBfRgE2p0Ibikb5yrVrXjXEVwAAcJ8XcW1GNOLCupQA08nGKAkYUM_IDehnvYDF9fjL_amoxJ_zdA1CzzF-zKuUIdsUIpjxY2EOQIlK2xBdcTPF1juD4QJw/QQcjxH-hGsYLeZHQ28fz8Y87sPvTUL7uJ_vRf6YLqow),AT10098,https://alhena.molonc.ca/alhena/dashboards/SC-7758,Done,SC-7341 SC-7342,AT10098 A118388B,hTERT 95.22,hTERT 95.22,"A118388B, A118334B",,,,,,,,,,,,,,,
hTERT p53-/- 95.22-CX5461-703 nM-6d,hTERT p53-/- 95.22,51a,CX5461,,,Fresh,DMEM+FBS,703 nM,6,A118363B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/r1uikoXEdHqH1emYUvTftA/H-bRh2fsn5xojkz6uHLD08csi7VM4kXvC4eHsaAh-W3FIRCWQCxHDO_K1RwMt4_TTODbOAwnuvEqUy9avNOj1ivMizooc--t4Dq2aqHs-quP-_cR8mPMkqlN6kvZa-aWrkpMDuXdlZ1Mbawo2Vah2Q/608EiYqWGcPg-vdx5_xCJePkD9MrDHInH5mwzxTDx_4),AT13874,https://alhena.molonc.ca/alhena/dashboards/SC-7794,Done,SC-7592 SC-7593,AT13874 A118363B,hTERT p53 KO CX-5461,hTERT p53 KO CX-5461,"A118363B, A118370B",https://www.bcgsc.ca/jira/browse/SC-7592,Nanopore/DLP CX-5461 hTERT WT/p53 KO,AT13873/AT13874,Nanopore/DLP CX-5461 hTERT WT/p53 KO,3/4/2022,3/10/2022,"https://www.bcgsc.ca/jira/browse/SC-7590, https://www.bcgsc.ca/jira/browse/SC-7592",,,,,,,,
hTERT p53-/- 95.22-Untreated--10d,hTERT p53-/- 95.22,55b,Untreated,,,Fixed,DMEM+FBS,,10,,AT16171,,Todo,SC-7694 SC-7695,AT16171 A118868B ,hTERT p53 KO Fixed Untreated,hTERT p53 KO Fixed Untreated,"A118881B, A118868B",,DLP untreated hTERT WT/p53 KO fixed,AT16170 WT; AT16171 p53 KO,DLP untreated hTERT WT/p53 KO fixed,,5/10/2022,https://www.bcgsc.ca/jira/browse/SC-4264,,,,,,,,
hTERT p53-/- 95.22-CX5461-703 nM-8d,hTERT p53-/- 95.22,58b,CX5461,,,Fixed,DMEM+FBS,703 nM,8,,AT16175,https://alhena.molonc.ca/alhena/dashboards/SC-7909,poor quality cells?,SC-7713 SC-7714 ,AT16175 A118850B,hTERT p53 KO Fixed CX5461,hTERT p53 KO Fixed CX5461,"A118850B, A118863B",,,,,,,,,,,,,,,
hTERT p53-/- 95.22-SB-124-3.2 µM-8d,hTERT p53-/- 95.22,58b,SB-124,,,Fixed,DMEM+FBS,3.2 µM,8,,AT16179,https://alhena.molonc.ca/alhena/dashboards/SC-7886,poor quality cells?,SC-7747 SC-7748,AT16179 A118875B,hTERT p53 KO Fixed SB-124,hTERT p53 KO Fixed SB-124,"A118875B, A118885B",,,,,,,,,,,,,,,
hTERT p53-/- 95.22-Untreated--d,hTERT p53-/- 95.22,58b,Untreated,,,Fresh,DMEM+FBS,,,A108875B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/gp03cmVz45thvRutXxhmeA/ccnT8h9h35WwGY5SOntBHiSR2_rifq3eUL6YI1Fxdn34bneXBRTqyYp3xvUAwxLHg3xvj-61VycaVMDfYpS6gmmzz4l3po7sKwR4bPPrSmeRet-IrHjmWhnVFJ93f197hHSp6c3qsN_SJpXFmS38nQ/3Sw4Ora9lJYsScKhjxebAKMz6gAsx81Oo4t7Hb1KTT8),AT17081,https://alhena.molonc.ca/alhena/dashboards/SC-7798,Done,SC-7685 SC-7686,AT17081 A108875B,hTERT p53 KO Untreated,hTERT p53 KO Untreated,"A108875B, A118841B",,,,,,,,,,,,,,,
hTERT p53-/- 95.22-cisplatin-410 nM-5d,hTERT p53-/- 95.22,62b,cisplatin,,,Fresh,DMEM+FBS,410 nM,5,A98308B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/PrXTtNbAFAcJIgD-XqbsSw/1UWaqfafcASkksBfn-3truHCOPQFLGmuu4sTVP5rO3BW7eUilR1S55q7mfo8xkspicq_jNFsFNQLgeQgmaFlN1WTOhS3qKmrDKjNo-dtmhfD0kx_oqjsKsgbxDgk8-KQ0tOke4ruAXjNbJDfYKR2rw/1kQo51PMj9HV8AlxrQH0_WFmSoys4J83Yk1x21zXWak),AT13846,https://alhena.molonc.ca/alhena/dashboards/SC-7889,Done,SC-7785 SC-7786,AT13846 A98308B ,hTERT p53 KO p62b Cisplatin,hTERT p53 KO p62b Cisplatin,"A98308B, A98309B",,,,,,,,,,,,,,,
184-hTERT-L9 (WT) -Untreated--d,184-hTERT-L9 (WT) ,25,Untreated,,,Fresh,MEBM defined media,,,A73044B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/EjUeZWTDmgw90pxZ9TpPfA/UKQI6yjH6ifRnyATz7E5xk3J5_Zdey5YbSN_OEaa55uEFctYNBatst5NkJXgsmkTfF84M15G4YgXxVRR1U3B5RrrgulhY6XfRfcmnNTAVnXoWtVy_BG1W63lmvtslp_uK5Jt0RFJ8Ueoc4WQq7f82Q/xY4vk5K7Vrl_WiQHJRlmsAwKch8gReC5vTM7nH8jF3k),,https://alhena.molonc.ca/alhena/dashboards?=DLP?analysis=SC-3439,Previously Published,SC-561,SA039 A73044B,,,,,,,,,,,,,,,,,,
184-hTERT-L9 (WT) -CX5461-990 nM-5d,184-hTERT-L9 (WT) ,39,CX5461,,,Fresh,MEBM defined media,990 nM,5,,,,Indexing failed,SC-7252 SC-7253,AT9249 A118407B,,,,,,,,,,,,,,,,,,
184-hTERT-L9 (WT) -cisplatin-470 nM-7d,184-hTERT-L9 (WT) ,41,cisplatin,,,Fresh,MEBM defined media,470 nM,7,A118348B_hdbscan_cell_cn_tree_heatmap.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/xf75qGeE3rM1oddIeoe00Q/y_rJLCPARUDq-2k-_8EZJCDdpOqr7lObs08KtThVyRtZbxiJqNinOTOw_9p54E1oZoUVZcr7t1nEuUmAUEF_7ydag05AZPum-C3muWYIGLFRzO2r3Jo5XFkqtAsqV3eyZDuCJAzGiV22IJC5YfJahA/XsPf_X9p8q1CU0fzBmYYvikFgjyUUfNzoRuU1ELVde0),AT10213,https://alhena.molonc.ca/alhena/dashboards/SC-8069,Done,SC-7329 SC-7330,AT10213 A118348B,hTERT WT 470nM Cisplatin,hTERT WT 470nM Cisplatin,"A118348B, A118356B",,,,,,,,,,,,,,,
184-hTERT-L9 (WT) -cisplatin-470 nM-7d,184-hTERT-L9 (WT) ,41,cisplatin,,,Fresh,MEBM defined media,470 nM,7,A118397A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/Ijx_4ARw9TBmm81Efuhh3w/WMS4r703sZPBvLMG-H_NQ6OPOXAS8m9_srFWY5dMJp9ABNqQP7yCTR_Rw-nJi4fKmMeDQ0XNcyz2ILBPxglo0zWLEgiaq94RkmmNvQVtk19AkSTo5QzbIyZmy-esGllhBKe9Mk4MXLY92ISnwhcRcw/AtalM0iGQiLQ4Q-zaxRMWezHv4X1nG-bRF795A-8SjU),AT9253,https://alhena.molonc.ca/alhena/dashboards/SC-7759,Done,SC-7267 SC-7268,AT9253 A118397A,hTert WT p41 470 nM cisplatin / 7 days,hTert WT p41 470 nM cisplatin / 7 days,A118397A,,,,,,,,,,,,,,,
184-hTERT-L9 (WT) -CX5461-990 nM-5+19+5d,184-hTERT-L9 (WT) ,41,CX5461,,,Fresh,MEBM defined media,990 nM,5+19+5,,,,Done but no DLP,,,,,,,Nanopore/DLP 5/19/5 CX5461 hTERT WT/p53 KO,AT18351 (WT) / AT18352 (95.22) ,Nanopore/DLP 5/19/5 CX5461 hTERT WT/p53 KO,9/9/2022,10/19/2022,,,,,,,,,
184-hTERT-L9 (WT) -CX5461-990 nM-8d,184-hTERT-L9 (WT) ,42,CX5461,,,Fresh,MEBM defined media,990 nM,8,A118338B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/vtWFyRP01WZCnim5Mz9fWQ/Tvs9hKuNw4oko_XbIDeCxGBlLgaIvs3SNkYRZAVoSqbVx7vi6QsHlQmiGlImvcfjpmyfPp13rVEt8CqOHWuhxejiiCZaUYkHetGsqWwJtknDy0JyxjNb06PfkLB7Ij4s8xn-BB4T6dhDYCvVhWAxRg/dKjqismBnmIVybLpF_4kVzVzi0fUPmR49Sj5Ocev4HI),AT10215,https://alhena.molonc.ca/alhena/dashboards/SC-7805,Done,SC-7430 SC-7431,AT10215 A118338B,hTERT WT 990nm CX-5461,hTERT WT 990nm CX-5461,A118338B,,,,,,,,,,,,,,,
184-hTERT-L9 (WT) -CX5461-990 nM-6d,184-hTERT-L9 (WT) ,43,CX5461,,,Fresh,MEBM defined media,990 nM,6,,AT20061,https://alhena.molonc.ca/alhena/dashboards/SC-8497,Done,SC-8168 SC-8167,AT20061 A130851B,hTERT Wt 990nM CX-5461 Multimodal Dataset 1 - 6 days,hTERT Wt 990nM CX-5461 Multimodal Dataset 1 - 6 days,"A130851B, A130945B",,,,,,,,,,,,,,,
184-hTERT-L9 (WT) -CX5461-990 nM-7d,184-hTERT-L9 (WT) ,43,CX5461,,,Fresh,MEBM defined media,990 nM,7,,AT20067,https://alhena.molonc.ca/alhena/dashboards/SC-8501,Done,SC-8177 SC-8176,AT20067 A130855B,hTERT Wt 990nM CX-5461 Multimodal Dataset 1 - 7 days,hTERT Wt 990nM CX-5461 Multimodal Dataset 1 - 7 days,"A130844B, A130855B",,,,,,,,,,,,,,,
184-hTERT-L9 (WT) -Untreated--6d,184-hTERT-L9 (WT) ,43,Untreated,,,Fresh,MEBM defined media,,6,,AT20060,https://alhena.molonc.ca/alhena/dashboards/SC-8525,Done,SC-8165 SC-8166,AT20060 A130851A,hTERT Wt Untreated Multimodal Dataset 1 - 6 days,hTERT Wt Untreated Multimodal Dataset 1 - 6 days,"A130851A, A130945A",,,,,,,,,,,,,,,
184-hTERT-L9 (WT) -Untreated--7d,184-hTERT-L9 (WT) ,43,Untreated,,,Fresh,MEBM defined media,,7,,AT20066,https://alhena.molonc.ca/alhena/dashboards/SC-8499,Done,"SC-8175 SC-8174
",AT20066 A130855A,hTERT Wt Untreated Multimodal Dataset 1 - 7 days,hTERT Wt Untreated Multimodal Dataset 1 - 7 days,"A130844A, A130855A",,,,,,,,,,,,,,,
184-hTERT-L9 (WT) -Untreated--d,184-hTERT-L9 (WT) ,43,Untreated,,,Fresh,MEBM defined media,,,,,,NOT DONE,,AT10097,,,,,,,,,,,,,,,,,,
184-hTERT-L9 (WT) -CX5461-990 nM-+5-14+5-14+5d,184-hTERT-L9 (WT) ,45,CX5461,,,Fresh,MEBM defined media,990 nM,-13,,AT18351,https://alhena.molonc.ca/alhena/dashboards/SC-8350,Done,SC-8091 SC-8092,AT18351 A130829A,hTERT Wt CX5461 5/14/5/14/5,hTERT Wt CX5461 5/14/5/14/5,"A130829A, A130850A",,,,,,,,,,,,,,,
184-hTERT-L9 (WT) -CX5461-990 nM-6d,184-hTERT-L9 (WT) ,47,CX5461,,,Fresh,DMEM+FBS,990 nM,6,A118363A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/eHZL572LgwbDdUMg-lUCKw/MhPavOPczvTrwrhASvsG3Fbshq1xIEP7U7wyVbCmDTBy38DiWAmk_ffFk9gmR5t0ZvflqNpd2A21QJrdxIqD0sIZGVvelsn3Hw73fptt9XRjpGk3aTzUE8VAGQVKXhanVtVb_iSz7fwk7LmJsmNLFg/dYJY6IJsAC9kyCgNZNScvZf9-uF5J5-Ik6AzQOvsH-g),AT13873,https://alhena.molonc.ca/alhena/dashboards/SC-7789,Done,SC-7590 SC-7591,AT13873 A118363A,hTERT WT CX-5461,hTERT WT CX-5461,"A118363A, A118370A",https://www.bcgsc.ca/jira/browse/SC-7590,Nanopore/DLP CX-5461 hTERT WT/p53 KO,AT13873/AT13874,Nanopore/DLP CX-5461 hTERT WT/p53 KO,3/4/2022,3/10/2022,"https://www.bcgsc.ca/jira/browse/SC-7590, https://www.bcgsc.ca/jira/browse/SC-7592",,,,,,,,
184-hTERT-L9 (WT) -Untreated--7d,184-hTERT-L9 (WT) ,47,Untreated,,,Fresh,DMEM+FBS,,7,A118361A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/pvYY8VVc6FZdgNoZMe6sTg/sgS78lj3c_FuRDn9kmr6GX6ch2yym0h2F_nidzlH683B4D-nxypG_3pG9Oa1eooN8BE4h1xaixVd83PUymLlxkfM0diH2SyKJszsp-1KhZHB3MAi7TWaxgCFKVGEeKEEcMC7tw8KIDjKzUWxAsUEPQ/_k9cKB1iq2i18m70cgRNieC6D_coEJk4uW3WodYmlJM),AT13875,https://alhena.molonc.ca/alhena/dashboards/SC-7787,Done,SC-7594,AT13875 A118361A,hTERT WT UNTREATED,hTERT WT UNTREATED,"A118361A, A118373A",,Nanopore/DLP hTERT p53 KO BRCA2 KO (CX5461) /WT (untreated),AT13876/AT13875,Nanopore/DLP hTERT p53 KO BRCA2 KO (CX5461) /WT (untreated),3/4/2022,3/11/2022,"https://www.bcgsc.ca/jira/browse/SC-7595, https://www.bcgsc.ca/jira/browse/SC-7594, ",,,,,,,,
184-hTERT-L9 (WT) -Untreated--d,184-hTERT-L9 (WT) ,51,Untreated,,,Fresh,MEBM defined media,,,"SA039 (1).png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/RKWstvAnOWuuqmUEDzUjvg/EB0iSSdXS77CQx0WBCgt79sRayTx9Nk_Ouwn9T9gYiE2ZA0xnHIyptb5ZN0BLJnOLqXVRoo49ajttbAXIPynm0ngIUt5JW9rhNaVOn-MBC0/r8K9lFTnfNq5PVIKNKEKi8sCt5SFZac3i7Mib6JKeos),image.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/gkaKwMo9pXWbs_Yufr6eKg/RLXJVXvrnTkx3rjT7diD_T-2eFLMywNpb5fK_ng9wkhBilvBxhey9nNLJbwwilviAgeFLP1-JeKyxyFeWRjGT4Dp_gtpn-M4ASygfz_1-Xg/CVzpnh7ZGbx6Yw2SRiaNl4lLZsh-ridpsZJW_Mf0N00)",,https://alhena.molonc.ca/alhena/dashboards/SC-2619,Previously Published,SC-2619,SA039 A73047D,,,,,,,,,,,,,,,,,,
184-hTERT-L9 (WT) -Untreated--10d,184-hTERT-L9 (WT) ,53,Untreated,,,Fixed,DMEM+FBS,,10,A118868A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/pvIbJm6Obpn06H_tlNIjgw/A1vqDJrubQn4NYYNmNK1FAyViceBaS6K7XVSQreKWebAS8traf_fS2eLgjc5bFkd8Ca9cgrBwe-_OTLoJ87ah29ubcZoBROsQ1gsNzKSypWC52rlcTbBKjdASejZmITmL1XMUttEahq9vnsBgmdK4Q/WLmnyNsqcRcnfeA09e7zs6mWO3FqGJ7ONfo4CEbOQ3k),AT16170,https://alhena.molonc.ca/alhena/dashboards/SC-7811,poor quality cells?,SC-7692 SC-7693,AT16170 A118868A,hTERT WT Fixed Untreated,hTERT WT Fixed Untreated,"A118881A, A118868A",,DLP untreated hTERT WT/p53 KO fixed,AT16170 WT; AT16171 p53 KO,DLP untreated hTERT WT/p53 KO fixed,,5/10/2022,https://www.bcgsc.ca/jira/browse/SC-4264,,,,,,,,
184-hTERT-L9 (WT) -CX5461-990 nM-8d,184-hTERT-L9 (WT) ,57,CX5461,,,Fixed,DMEM+FBS,990 nM,8,A118850A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/nXjDFTwApJS9zaWyZzHH1A/pxN6jWjKRbAYeRGSj7Sq7jJ3RrU4XwWeeIX16ZmD2qUyV-3brYAyz6HwQhogp5LlY4fEoXNZLEEfSCD4jxjRI58B3RifIY5tBlGjxSjEEIOWeXdytZ5As9TlAhkUb_NhHl1nKmmETgZ9pBcxZmZ7ZA/qC50L74chsAA24OObydibLtS9U_B6T8vw8ELhOdgTQU),AT16174,https://alhena.molonc.ca/alhena/dashboards/SC-7837,poor quality cells?,SC-7711 SC-7712,AT16174 A118850A,hTERT WT Fixed CX5461,hTERT WT Fixed CX5461,"A118850A, A118863A",,DLP CX5461 hTERT WT/p53 KO fixed,AT16174 WT; AT16175 p53 KO,DLP CX5461 hTERT WT/p53 KO fixed,4/14/2022,4/22/2022,https://www.bcgsc.ca/jira/browse/SC-4264,,WT: AT16174; 95.22: AT16175,,,,,,
