Name,Cell Line,passage,Drug Treatment,Parent,Holiday,Fixation,Media,Conc of Drug,Treatment (days),Clonal map,AT ID (from Attachments),Results,Status,JIRA,DLP Seq Lib,Link to SV,Sample Name (from Attachments),Library ID(s) (from Attachments),JIRA (from Attachments),Sync with calendar,ATLAS ID (from Sync with calendar),Task (from Sync with calendar),Date (from Sync with calendar),End (from Sync with calendar),Link to ticket (from Sync with calendar),EXP ID (Nanopore)(from Sync with calendar),AT-Barcode (from Sync with calendar),Matched Nanopore samples,#bases (Gb) (from Matched Nanopore samples),# reads (millions) (nanostat) (from Matched Nanopore samples),N50 (nanostat) (from Matched Nanopore samples),Quality (from Matched Nanopore samples),LIBRARY (from Matched Nanopore samples)
RPE-1 cas9 p53 WT-etoposide-20 µM-6d,RPE-1 cas9 p53 WT,11,etoposide,,,Fresh,DMEM+FBS,20 µM,6,,AT9257,https://alhena.molonc.ca/alhena/dashboards/SC-8086,Done,SC-7239 SC-7238,AT9257 A98275B,RPE1 WT  20uM etopside,RPE1 WT  20uM etopside,"A98275B, A98213B",,,,,,,,,,,,,,,
RPE-1 cas9 p53 WT-voreloxin-200 nM-6d,RPE-1 cas9 p53 WT,11,voreloxin,,,Fresh,DMEM+FBS,200 nM,6,A118428B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/GAMpf-j9VVdBYlDqCgjQhw/OakcE9I00VFd7WJ7_xVy1w5dspnkK9HuKJOfRYLyy5NwnLty6hjWkqI-Rk4T8tcDCspL5UrrX3SgaRyg_nZxiSRQZGAEDJQcgsp3YGKXYbeaJ6_w6H9UU_EDpcT3npzMN-dgqKtgGXXhfTxwslyGPg/mxxlCYBzpuh_LUhFNSG83GGGtMQmt8e32uguBpVRvK8),AT9247,https://alhena.molonc.ca/alhena/dashboards/SC-7318,Done,SC-7235  SC-7234,AT9247 A118428B,RPE1 WT 200uM veroloxin,RPE1 WT 200uM veroloxin,A121084B,,,,,,,,,,,,,,,
hTERT p53-/- BRCA2-/- 112.109-CX5461-6.02 nM-+5-14+5-14+5d,hTERT p53-/- BRCA2-/- 112.109,22,CX5461,,,Fresh,MEBM defined media,6.02 nM,-13,,AT12575,https://alhena.molonc.ca/alhena/dashboards/SC-8357,Done,SC-8099 SC-8100,AT12575 A130833B,hTERT p53 KO BRCA2 KO (112.109) CX5461 5/14/5/14/5,hTERT p53 KO BRCA2 KO (112.109) CX5461 5/14/5/14/5,"A130833B, A130838B",,,,,,,,,,,,,,,
hTERT p53-/- BRCA2-/- 112.109-CX5461-6.02 nM-6d,hTERT p53-/- BRCA2-/- 112.109,33,CX5461,,,Fresh,MEBM defined media,6.02 nM,6,A118392A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/kd5qv2V2yCDWV3wZ4dMWWg/KO0GPn1S4ZBqDW0lGquSJi3bMEHocRAhXuw1wEOOZ9bV3jdPzoRPhx0Act8Gz1vDk3LNIV2K62wt7kAHMYxDQaxGJuJ7P5inN3-I4QSagwf6xnxs35tQrnZZ5tIo7SKGfrifpSstq-3T3k5mzwHRGg/CoqDXMLqHJv1Zw4RxqrEh4t85DnQL93mS4VY1ePJtLk),AT9252,https://alhena.molonc.ca/alhena/dashboards/SC-7550,Done,SC-7259 SC-7258,AT9252 A118392A,HTERT p53KO BRCA2 KO (112.109 p 33) 6.02 nM CX5461,HTERT p53KO BRCA2 KO (112.109 p 33) 6.02 nM CX5461,A118385A,,,,,,,,,,,,,,,
hTERT p53-/- BRCA2-/- 112.109-cisplatin-43 nM-8d,hTERT p53-/- BRCA2-/- 112.109,35,cisplatin,,,Fresh,MEBM defined media,43 nM,8,A118386B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/5cg4QBOg-Ne6PwQ6BLMehg/YoltSJuFjTVCYESnguXV2chsHyD_Mn9h4LuJQa1QK14lf5hxquK8TNjfqaFrZ-pIkwTdEUk0Chztzrhst6fEy5U1ffvP27QjtK-apoGMKiHLtYq5H1a4TarOhN2uqW9WRw_3fUKAVoWoPac2JuDMVg/WdW2K4nnXIUIEsncP3Yi34U-vQ86kdr5gcJO0W4N468),AT9256,https://alhena.molonc.ca/alhena/dashboards/SC-7464,Done,SC-7292  SC-7293,AT9256 A118423B A118386B,hTert p53-/- BRCA2-/- 112.109 p35 43.0 nM cisplatin,hTert p53-/- BRCA2-/- 112.109 p35 43.0 nM cisplatin,A118423B,,,,,,,,,,,,,,,
hTERT p53-/- BRCA2-/- 112.109-Untreated--d,hTERT p53-/- BRCA2-/- 112.109,37,Untreated,,,Fresh,MEBM defined media,,,A118413B_hdbscan_cell_cn_tree_heatmap (1).png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/DZ2GY-DMzfvZwiloZoQ1AA/gUrQt_Prrv3aaUJVRfzpGycIAze83Z_5M7ziz9-M4bqTPPjovReIrHSvEK769Gri7QJb1Ga3CDKOFZ9xZesCjgui1lzRiEWIbuM9CXmIqTyoxmAEXbwjFyAtgNKNIKqXWhI1UT2rNmsWqUI93gLE8g/rwai40QGGHmnR3U9Cp4AHQeIoXxDAAux_ylLS7fiJ34),AT10100,https://alhena.molonc.ca/alhena/dashboards/SC-7971 (condition B),Done,SC-7345 SC-7346 ,AT10100,hTERT 112.109,hTERT 112.109,"A118413B, A118344B",,,,,,,,,,,,,,,
hTERT p53-/- BRCA2-/- 112.109-CX5461-6.02 nM-5+19+5d,hTERT p53-/- BRCA2-/- 112.109,42,CX5461,,,Fresh,MEBM defined media,6.02 nM,5+19+5,,,,Done but no DLP,,,,,,,Nanopore/DLP 5/19/5 CX5461 hTERT p53 KO BRCA1/2 KO,AT18353 (83.86) / AT18354 (112.109) ,Nanopore/DLP 5/19/5 CX5461 hTERT p53 KO BRCA1/2 KO,9/9/2022,10/20/2022,,,,,,,,,
hTERT p53-/- BRCA2-/- 112.109-CX5461-6.02 nM-7d,hTERT p53-/- BRCA2-/- 112.109,47,CX5461,,,Fresh,DMEM+FBS,6.02 nM,7,A118361B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/HPPXe9CAJrWmBfezEiT9LA/mQxXERYmC6uQGY1S_ChD20bcBcZHn7f6kd149iR8QrJmzyJVzHIAW50f3a6zW4vUaZlerZTpcfvudaTU01cyb6pAcniQB98jPtL_IQZMj8Kku7Tm28b8ubJGHs-oAAaZY8Hvpl54obx5vKRSm5KqIg/UL64_x8qMRhmczowbJvT9ry7DXtMau2gbySXDaeno0c),AT13876,https://alhena.molonc.ca/alhena/dashboards/SC-7788,Done,SC-7595 SC-7596,AT13876 A118361B,hTERT p53 KO BRCA2 KO CX-5461,hTERT p53 KO BRCA2 KO CX-5461,"A118361B, A118373B",,Nanopore/DLP hTERT p53 KO BRCA2 KO (CX5461) /WT (untreated),AT13876/AT13875,Nanopore/DLP hTERT p53 KO BRCA2 KO (CX5461) /WT (untreated),3/4/2022,3/11/2022,"https://www.bcgsc.ca/jira/browse/SC-7595, https://www.bcgsc.ca/jira/browse/SC-7594, ",,,,,,,,
hTERT p53-/- BRCA2-/- 112.109-Untreated--d,hTERT p53-/- BRCA2-/- 112.109,48,Untreated,,,Fresh,MEBM defined media,,,A95621A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/_2MV9KSNPkMd2-Qntb-n2w/gnDvoXqRcytkc1z2UMn2upmGcgR7-8RiS1pENN4T0sswtn3Vv_QpwI2jnCGnu830tS8R9gaHcWLALfk4B-4mJQY30naCaFqLG_6X76H6lZxih8cR_qzkbC1CKc7NVKCgVTOQNc-OJ0b7dYleWbtIQw/nmiUupbcL8NPAw2DBCbR4Bmix0fOGYD6_XPRHCv4fLE),,https://alhena.molonc.ca/alhena/dashboards?=DLP?analysis=SC-2964,Previously Published,SC-2964,SA1055 A95621A,,,,,,,,,,,,,,,,,,
hTERT p53-/- BRCA2-/- 112.109-Untreated--10d,hTERT p53-/- BRCA2-/- 112.109,50,Untreated,,,Fixed,DMEM+FBS,,10,A118842B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/VS4heTySDPiEeBQIYqokUQ/XD0YYBtJa9CCol-ebi99Zs8uWP6wjbU5vfwJxYv4MsI8dWz9p60-emoDaY-m905bnyFd_vNYe9mONy8nUqZgxlw2eCxpvr3obDaNE_T2XoOgn60LEM1auQomLN2rCt0RnlcU38Ov9ppMMjHiwAYRNg/jxe6NX77nKzfnwdSDjVwoyNqbpT5BXKFy35loNSFFlw),AT16173,https://alhena.molonc.ca/alhena/dashboards/SC-7850,poor quality cells?,SC-7700 SC-7701,AT16173 A118842B,hTERT p53 KO BRCA2 KO Fixed Untreated,hTERT p53 KO BRCA2 KO Fixed Untreated,"A118842B, A118867B",,,,,,,,,,,,,,,
